Car Body Style,Description,South African English Term,Example Cars,Image Path
Saloon / Sedan,"3-box design with separate trunk, usually 4-door",Sedan,"Toyota Corolla, BMW 3 Series, Mercedes-Benz C-Class",https://www.autolexicon.net/wp-content/uploads/2021/01/sedan.jpg
Notchback,"Similar to sedan, distinct trunk line",Notchback,"Chevrolet Vega, Skoda Rapid",https://www.carkeys.co.uk/sites/carkeys/files/styles/large/public/2023-03/Skoda-Rapid-Notchback.jpg
Hatchback,"Rear door swings upward, compact, 2-box design",Hatchback,"VW Polo, Ford Fiesta, Hyundai i20",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Hatchback.jpg
Estate / Station Wagon,"Long body, extended rear cargo",Station Wagon,"Volvo V60, Audi A4 Avant, Toyota Corolla Quest Wagon",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Station-Wagon.jpg
Liftback / Fastback,"Sedan-like shape, rear opens upwards",Liftback,"Renault Laguna, Skoda Octavia, BMW GT series",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Liftback.jpg
Pick-up Truck,"Open cargo bed, work and lifestyle vehicle",Bakkie,"Toyota Hilux, Ford Ranger, Isuzu D-Max",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Pickup-Truck.jpg
Leisure Activity Vehicle (LAV),Passenger version of vans with tall roof,LAV,"VW Caddy, Renault Kangoo, Citroën Berlingo",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Leisure-Activity-Vehicle.jpg
MPV / Minivan,Multi-purpose tall family vehicle,Minivan,"Kia Carnival, Toyota Avanza, VW Touran",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Minivan.jpg
Off-road Vehicle,Rugged vehicle for terrain,Off-road Vehicle,"Jeep Wrangler, Land Rover Defender",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Off-road-Vehicle.jpg
SUV,Off-road capable and comfortable,SUV,"Toyota Fortuner, BMW X5, Land Rover Discovery",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/SUV.jpg
Crossover,SUV appearance on hatchback platform,Crossover,"Nissan Qashqai, Renault Captur, BMW X6",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Crossover.jpg
Coupe,2-door sport style car,Coupe,"Mercedes-Benz CLS, Ford Mustang",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Coupe.jpg
Convertible / Cabrio,Car with retractable roof,Convertible,"BMW Z4, VW Beetle Cabrio",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Convertible.jpg
Roadster / Spyder,"2-seater, sporty, mostly open top",Roadster,"Mazda MX-5, Porsche Boxster",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Roadster.jpg
Targa Top,Open roof with fixed rear window,Targa,Porsche 911 Targa,https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Targa-Top.jpg
Buggy,"Lightweight, open, 2-seat vehicle",Buggy,VW Beach Buggy,https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Buggy.jpg
Hardtop,Car with fixed roof or detachable stored roof,Hardtop,Chrysler Newport (classic),https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Hardtop.jpg
Shooting Brake,Sporty car with nearly vertical tailgate,Shooting Brake,"Aston Martin DB5 Shooting Brake, Ferrari FF",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Shooting-Brake.jpg
Runabout,Simple car with no windshield or doors,Runabout,"Austin 7, Ford Model T Runabout",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Runabout.jpg
Phaeton,"Open-air car, optional retractable roof",Phaeton,"Cadillac Phaeton (vintage), Peugeot 607 Phaeton",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Phaeton.jpg
Brougham / Town Car,"Front seats open, rear covered",Town Car,"Cadillac Town Car (classic), Lincoln Brougham",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Town-Car.jpg
Landaulet,"Front seats covered, rear open, often ceremonial",Landaulet,"Mercedes 600 Landaulet, Custom presidential limousines",https://www.theengineeringchoice.com/wp-content/uploads/2023/06/Landaulet.jpg
